FL_MONTH,DEP_HOUR,OP_UNIQUE_CARRIER,ORIGIN,DEST,DELAY_CATEGORY
12,6,YV,PIT,IAH,NO_DELAY
10,5,OH,ECP,CLT,NO_DELAY
1,8,AA,PIT,CLT,NO_DELAY
10,21,B6,PSP,JFK,NO_DELAY
6,14,WN,MSY,DAL,NO_DELAY
10,7,AS,SEA,DCA,NO_DELAY
5,19,DL,RIC,ATL,NO_DELAY
2,14,MQ,SUX,DFW,NO_DELAY
3,14,AA,SAN,DFW,NO_DELAY
8,17,AA,PHL,BOS,NO_DELAY
5,7,OH,DCA,SYR,NO_DELAY
11,6,UA,DFW,EWR,NO_DELAY
1,11,UA,EUG,SFO,NO_DELAY
11,17,DL,SEA,LIH,NO_DELAY
3,9,EV,IAH,XNA,NO_DELAY
6,8,B6,BDL,DCA,NO_DELAY
5,15,MQ,ATL,ORD,NO_DELAY
9,10,YX,PHL,CMH,NO_DELAY
2,16,OO,ATL,MOB,NO_DELAY
11,20,DL,MSP,IND,NO_DELAY
11,14,DL,ATL,ORF,NO_DELAY
3,11,YX,CLT,EWR,NO_DELAY
10,15,DL,MSP,LGA,MINOR_DELAY
4,19,OO,DEN,PAE,NO_DELAY
7,7,DL,TPA,LAX,NO_DELAY
3,15,YX,MIA,EYW,NO_DELAY
5,6,WN,DCA,MDW,NO_DELAY
12,10,DL,SLC,ATL,NO_DELAY
12,13,WN,MDW,BWI,NO_DELAY
11,13,AA,SFO,DFW,NO_DELAY
10,8,NK,BWI,ATL,NO_DELAY
5,21,OO,DFW,MLU,SEVERE_DELAY
6,20,OH,CLT,FWA,MINOR_DELAY
11,14,AA,TPA,DFW,NO_DELAY
3,21,AA,PHL,PBI,NO_DELAY
3,9,YX,BTR,IAH,NO_DELAY
6,5,9E,BUF,JFK,NO_DELAY
12,7,WN,DAL,AUS,NO_DELAY
7,10,WN,LIT,LAS,NO_DELAY
2,11,YX,CMH,IAH,MAJOR_DELAY
1,13,OO,MSP,FAR,NO_DELAY
6,10,F9,MCO,MDT,NO_DELAY
2,22,DL,SLC,OAK,NO_DELAY
4,14,AA,DFW,MEM,MAJOR_DELAY
7,9,DL,ATL,PVD,NO_DELAY
2,14,HA,HNL,KOA,MINOR_DELAY
7,12,OO,LAX,ASE,NO_DELAY
8,15,OO,PSC,DEN,NO_DELAY
9,18,UA,LAS,DEN,SEVERE_DELAY
5,6,AA,ONT,PHX,NO_DELAY
5,14,NK,ORD,BOS,NO_DELAY
11,17,OO,IAD,DTW,NO_DELAY
8,16,WN,ATL,MDW,MINOR_DELAY
2,9,YX,LGA,CHS,NO_DELAY
1,19,WN,MSY,HOU,NO_DELAY
6,10,AA,PHX,GEG,NO_DELAY
1,13,OO,MSP,PIA,NO_DELAY
7,15,MQ,DFW,CAE,NO_DELAY
12,21,OO,MSP,ATW,MINOR_DELAY
5,22,F9,LAS,SMF,SEVERE_DELAY
11,9,WN,OAK,LAX,NO_DELAY
4,5,YX,PWM,DCA,NO_DELAY
9,14,OO,ORD,CVG,NO_DELAY
5,22,UA,AUS,DEN,SEVERE_DELAY
10,20,MQ,DFW,GNV,NO_DELAY
2,10,AA,PHL,LAX,MINOR_DELAY
8,13,AA,SAN,CLT,NO_DELAY
7,16,B6,JFK,MCO,NO_DELAY
12,17,AS,KTN,SIT,NO_DELAY
9,7,WN,CVG,MDW,NO_DELAY
